title,rating,director
The Strange Case of Dr. Jekyll and Miss Osbourne,7,Walerian Borowczyk
Fearless Hyena,7,Jackie Chan
Fearless Hyena,7,Kenneth Tsang
Fear City,6,Abel Ferrara
The 4th Man,7,Paul Verhoeven
Hopscotch,7,Ronald Neame
Tale of Cinema,7,Hong Sang-soo
The Lost Weekend,7,Billy Wilder
A Good Marriage,7,Éric Rohmer
The One-Armed Swordsman,8,Chang Cheh
A New Leaf,8,Elaine May
Searching for Sugar Man,7,Malik Bendjelloul
They Live by Night,7,Nicholas Ray
Bone Tomahawk,7,S. Craig Zahler
My American Uncle,8,Alain Resnais
Only God Forgives,6,Nicolas Winding Refn
De Palma,7,Noah Baumbach
De Palma,7,Jake Paltrow
Paranoid Park,6,Gus Van Sant
The Matrix,8,Lilly Wachowski
The Matrix,8,Lana Wachowski
Broken Arrow,6,Delmer Daves
A Better Tomorrow,6,John Woo
Pather Panchali,8,Satyajit Ray
The Wanderers,8,Philip Kaufman
Transit,7,Christian Petzold
Still Walking,8,Hirokazu Kore-eda
Black Book,7,Paul Verhoeven
Live Flesh,7,Pedro Almodóvar
An Actor's Revenge,7,Kon Ichikawa
Wolf Children,8,Mamoru Hosoda
Tie Me Up! Tie Me Down!,6,Pedro Almodóvar
Invasion of the Body Snatchers,7,Don Siegel
Ghost in the Shell,7,Mamoru Oshii
Under the Silver Lake,7,David Robert Mitchell
Rescue Dawn,7,Werner Herzog
Knives Out,6,Rian Johnson
Night Moves,8,Arthur Penn
Oasis,8,Lee Chang-dong
A Short Film About Killing,8,Krzysztof Kieślowski
Terminator 2: Judgment Day,7,James Cameron
Hollow Man,6,Paul Verhoeven
Boiling Point,6,Takeshi Kitano
Cairo Station,6,Youssef Chahine
The Happiness of the Katakuris,7,Takashi Miike
Youth of the Beast,7,Seijun Suzuki
The Grandmaster,6,Wong Kar-wai
Horse Money,7,Pedro Costa
Bacurau,8,Kleber Mendonça Filho
Bacurau,8,Juliano Dornelles
Nausicaä of the Valley of the Wind,7,Hayao Miyazaki
The Day of the Owl,7,Damiano Damiani
Husbands and Wives,8,Woody Allen
A Touch of Sin,7,Jia Zhangke
New Rose Hotel,6,Abel Ferrara
Winter Sleep,8,Nuri Bilge Ceylan
Midsommar,6,Ari Aster
The 36th Chamber of Shaolin,8,Liu Chia-Liang
Zama,7,Lucrecia Martel
Un Flic,7,Jean-Pierre Melville
Poetry,8,Lee Chang-dong
Le Corbeau,7,Henri-Georges Clouzot
Tabu,7,Miguel Gomes
The Wayward Cloud,7,Tsai Ming-liang
Aniara,7,Pella Kågerman
Aniara,7,Hugo Lilja
Keoma,7,Enzo G. Castellari
Fireworks,8,Takeshi Kitano
A Hidden Life,8,Terrence Malick
The Rider,8,Chloé Zhao
Escape From Alcatraz,7,Don Siegel
Romper Stomper,6,Geoffrey Wright
Targets,6,Peter Bogdanovich
The Red and the White,7,Miklós Jancsó
Spider,7,David Cronenberg
Tokyo-Ga,7,Wim Wenders
Deconstructing Harry,7,Woody Allen
Bullets Over Broadway,7,Woody Allen
Enter the Dragon,7,Robert Clouse
A Bullet for the General,7,Damiano Damiani
Ichi the Killer,6,Takashi Miike
Landscape in the Mist,7,Theo Angelopoulos
Police Story,7,Jackie Chan
Meek's Cutoff,7,Kelly Reichardt
I Vitelloni,7,Federico Fellini
Le Doulos,7,Jean-Pierre Melville
Scarlet Street,7,Fritz Lang
High Life,7,Claire Denis
Comradeship,8,G.W. Pabst
Marty,7,Delbert Mann
Another Woman,6,Woody Allen
The Bride Wore Black,6,François Truffaut
Climax,8,Gaspar Noé
Bob le Flambeur,7,Jean-Pierre Melville
Odd Man Out,8,Carol Reed
Cold War,8,Paweł Pawlikowski
24 City,7,Jia Zhangke
The Host,7,Bong Joon-ho
To Catch a Thief,6,Alfred Hitchcock
"The Good, the Bad and the Ugly",8,Sergio Leone
Early Summer,8,Yasujirō Ozu
A Simple Life,8,Ann Hui
The Crucified Lovers,8,Kenji Mizoguchi
Radio On,7,Chris Petit
Annihilation,6,Alex Garland
Sabotage,7,Alfred Hitchcock
Easy Rider,7,Dennis Hopper
A Scanner Darkly,7,Richard Linklater
The Hunt,8,Thomas Vinterberg
Rancho Notorious,7,Fritz Lang
La Jetée,7,Chris Marker
Intimate Lighting,7,Ivan Passer
Letter Never Sent,8,Mikhail Kalatozov
The Salesman,8,Asghar Farhadi
El Topo,7,Alejandro Jodorowsky
Images,7,Robert Altman
Memories of Murder,8,Bong Joon-ho
Mauvais Sang,7,Leos Carax
Summer with Monika,7,Ingmar Bergman
Roma,8,Alfonso Cuarón
Night and the City,7,Jules Dassin
Battling Butler,7,Buster Keaton
Good Morning,8,Yasujirō Ozu
Umberto D.,8,Vittorio De Sica
Sightseers,6,Ben Wheatley
The Ballad of Buster Scruggs,7,Joel Coen
The Ballad of Buster Scruggs,7,Ethan Coen
Breaking the Waves,8,Lars von Trier
Grand Illusion,8,Jean Renoir
The Eyes of Orson Welles,7,Mark Cousins
Strangers on a Train,8,Alfred Hitchcock
Loves of a Blonde,8,Miloš Forman
Come and See,9,Elem Klimov
Chinese Roulette,7,Rainer Werner Fassbinder
The Bitter Tears of Petra von Kant,8,Rainer Werner Fassbinder
Infernal Affairs,7,Andrew Lau
Infernal Affairs,7,Alan Mak
Last Tango in Paris,7,Bernardo Bertolucci
Pat Garrett & Billy the Kid,7,Sam Peckinpah
Carnival of Souls,6,Herk Harvey
Stagecoach,8,John Ford
Code Unknown,8,Michael Haneke
Don't Look Now,7,Nicolas Roeg
La Notte,8,Michelangelo Antonioni
Hard Eight,7,Paul Thomas Anderson
The Sting,7,George Roy Hill
Cinema Paradiso,7,Giuseppe Tornatore
The River,7,Jean Renoir
Deep End,7,Jerzy Skolimowski
Shadow of a Doubt,7,Alfred Hitchcock
The Man Who Shot Liberty Valance,8,John Ford
Cléo from 5 to 7,8,Agnès Varda
Buena Vista Social Club,7,Wim Wenders
Wild Strawberries,8,Ingmar Bergman
Butch Cassidy and the Sundance Kid,7,George Roy Hill
After Hours,9,Martin Scorsese
You Were Never Really Here,6,Lynne Ramsay
Russian Ark,7,Aleksandr Sokurov
Isle of Dogs,7,Wes Anderson
Sorcerer,8,William Friedkin
Short Cuts,8,Robert Altman
Silent Running,6,Douglas Trumbull
PlayTime,7,Jacques Tati
Close Encounters of the Third Kind,7,Steven Spielberg
Singin' in the Rain,8,Stanley Donen
Singin' in the Rain,8,Gene Kelly
The Double Life of Véronique,7,Krzysztof Kieślowski
Fish Tank,7,Andrea Arnold
"Ivan the Terrible, Part I",7,Sergei Eisenstein
A Fistful of Dollars,8,Sergio Leone
The Breakfast Club,7,John Hughes
"Ivan the Terrible, Part II: The Boyars' Plot",6,Sergei Eisenstein
Brighton Rock,6,John Boulting
Bullitt,7,Peter Yates
Zelig,7,Woody Allen
Porco Rosso,7,Hayao Miyazaki
Dunkirk,6,Christopher Nolan
Kagemusha,8,Akira Kurosawa
The Big Sleep,7,Howard Hawks
Sunset Boulevard,8,Billy Wilder
City Lights,10,Charlie Chaplin
Red Road,7,Andrea Arnold
Best of Enemies,7,Morgan Neville
Best of Enemies,7,Robert Gordon
The Devil's Backbone,7,Guillermo del Toro
8½,8,Federico Fellini
The Lives of Others,8,Florian Henckel von Donnersmarck
Nosferatu,8,F.W. Murnau
Do the Right Thing,8,Spike Lee
