year,title
1916,1.0
1917,3.0
1918,1.0
1919,0.0
1920,2.0
1921,2.0
1922,2.0
1923,2.0
1924,2.0
1925,4.0
1926,2.0
1927,4.0
1928,4.0
1929,2.0
1930,3.0
1931,5.0
1932,2.0
1933,2.0
1934,1.0
1935,1.0
1936,3.0
1937,5.0
1938,2.0
1939,4.0
1940,3.0
1941,5.0
1942,2.0
1943,2.0
1944,6.0
1945,7.0
1946,8.0
1947,7.0
1948,14.0
1949,5.0
1950,13.0
1951,8.0
1952,11.0
1953,12.0
1954,12.0
1955,12.0
1956,9.0
1957,11.0
1958,10.0
1959,14.0
1960,18.0
1961,10.0
1962,20.0
1963,12.0
1964,19.0
1965,10.0
1966,19.0
1967,20.0
1968,20.0
1969,15.0
1970,23.0
1971,25.0
1972,30.0
1973,31.0
1974,23.0
1975,15.0
1976,18.0
1977,18.0
1978,14.0
1979,23.0
1980,21.0
1981,15.0
1982,15.0
1983,18.0
1984,20.0
1985,20.0
1986,19.0
1987,26.0
1988,27.0
1989,14.0
1990,18.0
1991,18.0
1992,14.0
1993,10.0
1994,15.0
1995,22.0
1996,15.0
1997,15.0
1998,17.0
1999,20.0
2000,22.0
2001,18.0
2002,22.0
2003,12.0
2004,15.0
2005,13.0
2006,18.0
2007,18.0
2008,20.0
2009,24.0
2010,22.0
2011,25.0
2012,22.0
2013,33.0
2014,51.0
2015,44.0
2016,40.0
2017,23.0
2018,24.0
2019,28.0
2020,5.0
