title,year,rating,date_rated,duration,director,country,genre,actors,image,backdrop,summary
Phoenix,2014,rating rated-7,/iainm/films/diary/for/2020/09/20/,"98 mins  
				
					More details at",Christian Petzold,"Germany,Poland",drama,"Nina Hoss,Ronald Zehrfeld,Nina Kunzendorf,Trystan Pütter,Michael Maertens,Imogen Kogge,Felix Römer,Uwe Preuss,Valerie Koch,Eva Bay,Jeff Burrell,Nikola Kastner,Max Hopp,Megan Gay,Kirsten Block,Frank Seppeler,Daniela Holtz,Kathrin Wehlisch,Michael Wenninger,Claudia Geisler,Tim Lorenz,Paul Kleber,Ralf Denker,Valentin Gregor,Stefan Will,Sofia Exss",https://a.ltrbxd.com/resized/sm/upload/yo/sh/hn/kv/9wgvrNpD4YtcZji0sy69av8rPfZ-0-230-0-345-crop.jpg?k=6c4ac1597d,https://a.ltrbxd.com/resized/sm/upload/6a/uq/5l/4s/phoenix-2014-1200-1200-675-675-crop-000000.jpg?k=e2f5e22f59,"A disfigured concentration-camp survivor, unrecognizable after facial reconstruction surgery, searches ravaged postwar Berlin for the husband who might have betrayed her to the Nazis."
Hour of the Wolf,1968,rating rated-7,/iainm/films/diary/for/2020/10/10/,"90 mins  
				
					More details at",Ingmar Bergman,Sweden,"horror,drama","Max von Sydow,Liv Ullmann,Gertrud Fridh,Georg Rydeberg,Erland Josephson,Ingrid Thulin,Naima Wifstrand,Lenn Hjortzberg,Mikael Rundquist,Mona Seilitz,Gudrun Brost,Bertil Anderberg,Agda Helin,Folke Sundquist,Ulf Johanson",https://a.ltrbxd.com/resized/film-poster/4/0/4/2/2/40422-hour-of-the-wolf-0-230-0-345-crop.jpg?k=392fae5cb3,https://a.ltrbxd.com/resized/sm/upload/1c/s8/32/jg/hour-of-wolf-1200-1200-675-675-crop-000000.jpg?k=78da44265e,"An artist in crisis is haunted by nightmares from the past in Ingmar Bergman's only horror film, which takes place on a windy island. During ""the hour of the wolf"" - between midnight and dawn - he tells his wife about his most painful memories."
Dirty Ho,1979,rating rated-7,/iainm/films/diary/for/2020/09/12/,"103 mins  
				
					More details at",Liu Chia-Liang,Hong Kong,"comedy,action","Gordon Liu Chia-Hui,Yue Wong,Lo Lieh,Johnny Wang Lung-Wei,Hsiao Ho,Wilson Tong,Kara Wai,Helen Poon Bing-Seung",https://a.ltrbxd.com/resized/film-poster/1/1/8/6/9/11869-dirty-ho-0-230-0-345-crop.jpg?k=7a21fbe134,,A prince enlists a thief to serve as his bodyguard to protect him from assassins.
Nobody Knows,2004,rating rated-8,/iainm/films/diary/for/2020/09/20/,"141 mins  
				
					More details at",Hirokazu Kore-eda,Japan,drama,"Yuya Yagira,Ayu Kitaura,Hiei Kimura,Momoko Shimizu,Hanae Kan,You,Ryô Kase,Kazuyoshi Kushida,Yukiko Okamoto,Sei Hiraizumi,Takako Tate,Yuichi Kimura,Ken'ichi Endô,Susumu Terajima,Shinichi Hashizawa",https://a.ltrbxd.com/resized/sm/upload/jt/54/57/04/kDQSwhkiHttHt0OlPNdmnrBsTki-0-230-0-345-crop.jpg?k=59807992eb,https://a.ltrbxd.com/resized/sm/upload/sd/01/pf/jc/nobody-knows-1200-1200-675-675-crop-000000.jpg?k=a53d75faa7,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
The Border,1982,rating rated-7,/iainm/films/diary/for/2020/09/19/,"108 mins  
				
					More details at",Tony Richardson,USA,"crime,drama","Jack Nicholson,Harvey Keitel,Valerie Perrine,Warren Oates,Elpidia Carrillo,Shannon Wilcox,Manuel Viescas,Jeff Morris,Mike Gomez,Dirk Blocker,Lonny Chapman,Stacey Pickren,Floyd Levine,James Jeter,Alan Fudge,William Russ,Gary Grubbs,Gary Sexton,Billy Silva,Bill McLaughlin,David Beecroft,Esther Sylvey,Luis Mejía,Roberto Rivera,Jay Thurman,Craig Terry,Juan Ramírez,Adalberto Cortez,Concepción Palmeres,Show All…",https://a.ltrbxd.com/resized/film-poster/3/8/1/1/9/38119-the-border-0-230-0-345-crop.jpg?k=1190aaf57b,,A corrupted border agent decides to clean up his act when an impoverished woman's baby is put up for sale on the black market.
Endless Poetry,2016,rating rated-7,/iainm/films/diary/for/2020/09/26/,"130 mins  
				
					More details at",Alejandro Jodorowsky,"UK,France,Japan,Chile","fantasy,drama","Adan Jodorowsky,Brontis Jodorowsky,Pamela Flores,Leandro Taub,Alejandro Jodorowsky,Jeremias Herskovits,Julia Avendaño,Bastián Bodenhöfer,Carolyn Carlson,Ali Ahmad Sa'Id Esber,Kaori Ito,Carlos Leay,Hugo Marín,Felipe Pizarro Sáenz De Urtury,Felipe Ríos",https://a.ltrbxd.com/resized/sm/upload/vx/ao/mi/h7/lMccA5ta5u3o4iuRezLJIgc6vIj-0-230-0-345-crop.jpg?k=51966150ab,https://a.ltrbxd.com/resized/sm/upload/l2/ij/tk/2i/endless-poetry-1200-1200-675-675-crop-000000.jpg?k=8d5fe3265c,"A portrait of Alejandro Jodorowsky’s young adulthood, set in the 1940s and 50s, in the electric capital city of Santiago. There, he decides to become a poet and is introduced, by destiny, into the foremost bohemian and artistic circle of the time."
Heroes of the East,1978,rating rated-8,/iainm/films/diary/for/2020/09/19/,"105 mins  
				
					More details at",Liu Chia-Liang,Hong Kong,action,"Gordon Liu Chia-Hui,Yuka Mizuno,Cheng Kang-Yeh,Yasuaki Kurata,Naozo Kato,Norman Chui,Cheng Miu,Liu Chia-Liang,Riki Harada,Helen Poon Bing-Seung,Teresa Ha Ping,Gam Tin-Chue,Nobuo Yana,Hitoshi Ômae,Ou-Yang Sha-Fei,King Lee King-Chu,Hsiao Ho,Wilson Tong,Yuen Siu-Tien,Linda Hoh",https://a.ltrbxd.com/resized/film-poster/2/4/0/1/4/24014-heroes-of-the-east-0-230-0-345-crop.jpg?k=58a6d12dd4,,"Gordon Liu stars as a Chinese martial arts student struggling to relate to his new Japanese wife. When a series of martial misunderstandings spirals into an international incident, he's forced to take on seven of Japan's most powerful martial arts masters, each an expert in a different discipline, ranging from karate to samurai to ninjitsu."
Cockfighter,1974,rating rated-7,/iainm/films/diary/for/2020/09/20/,"83 mins  
				
					More details at",Monte Hellman,USA,drama,"Warren Oates,Richard B. Shull,Harry Dean Stanton,Ed Begley Jr.,Laurie Bird,Troy Donahue,Warren Finnerty,Robert Earl Jones,Patricia Pearcy,Millie Perkins,Steve Railsback,Tom Spratley,Charles Willeford,Pete Munro,Kermit Echols,Ed Smith,Jimmy Williams,John Trotter,Lois Zeitlin,Joe Bentley,A.B. Greeson,Bob Hannah,Sara Rickman,Meg Brush,Oliver Coleman,Donnie Fritts,Bobby Dunn,Kim Bernard,Ank Carleton,Show All…",https://a.ltrbxd.com/resized/film-poster/3/4/3/2/1/34321-cockfighter-0-230-0-345-crop.jpg?k=b293100d72,,A man who trains fighting cocks vows to remain silent until one of his birds wins a championship.
Lucky,2017,rating rated-7,/iainm/films/diary/for/2020/10/02/,"88 mins  
				
					More details at",John Carroll Lynch,USA,drama,"Harry Dean Stanton,David Lynch,Ron Livingston,Ed Begley Jr.,Tom Skerritt,Beth Grant,James Darren,Barry Shabaka Henley,Yvonne Huff,Hugo Armstrong",https://a.ltrbxd.com/resized/sm/upload/i1/72/yq/82/fy2K8jqCV9rNC8fHx9muPJTNaqs-0-230-0-345-crop.jpg?k=0100409274,https://a.ltrbxd.com/resized/sm/upload/5f/5r/cq/ks/lucky-2017-1200-1200-675-675-crop-000000.jpg?k=4693460d41,"Follows the journey of a 90-year-old atheist and the quirky characters that inhabit his off-the-map desert town. He finds himself at the precipice of life, thrust into a journey of self-exploration."
The Beach Bum,2019,rating rated-7,/iainm/films/diary/for/2020/09/18/,"95 mins  
				
					More details at",Harmony Korine,"France,Switzerland,UK,USA",comedy,"Matthew McConaughey,Snoop Dogg,Isla Fisher,Jimmy Buffett,Zac Efron,Martin Lawrence,Stefania LaVie Owen,Jonah Hill,Donovan St V. Williams,David Bennett,Joshua Ritter,John Morris,Jo Marie Payton,Leah Van Dale,Ricky Diaz,Bertie Higgins,Clinton Archambault,Joshua Rosen,Tonya Oliver,Chela Arias,Ricardo Matallana,Karla Goodwin,Debra Cohen,Alan Frankel,A. Ali Flores,Hunter Rearden,Lefty Korine,Barry Mizerski,Todd Mitchell,Show All…",https://a.ltrbxd.com/resized/film-poster/3/7/4/0/5/1/374051-the-beach-bum-0-230-0-345-crop.jpg?k=8e15eb2528,https://a.ltrbxd.com/resized/sm/upload/05/vr/u1/dj/the-beach-bum-1200-1200-675-675-crop-000000.jpg?k=5daa070b19,"An irreverent comedy about the misadventures of Moondog, a rebellious stoner and lovable rogue who lives large."
Scenes from a Marriage,1974,rating rated-8,/iainm/films/diary/for/2020/09/27/,"169 mins  
				
					More details at",Ingmar Bergman,Sweden,"romance,drama","Liv Ullmann,Erland Josephson,Bibi Andersson,Jan Malmsjö,Gunnel Lindblom,Wenche Foss,Bertil Norström,Anita Wall,Rossana Mariano,Lena Bergman,Ingmar Bergman,Barbro Hiort af Ornäs",https://a.ltrbxd.com/resized/film-poster/1/0/3/3/0/2/103302-scenes-from-a-marriage-0-230-0-345-crop.jpg?k=bbff1b51a7,https://a.ltrbxd.com/resized/sm/upload/on/8o/a2/9m/scenes-from-a-marriage-1200-1200-675-675-crop-000000.jpg?k=d80d38c9fb,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection."
On Dangerous Ground,1951,rating rated-7,/iainm/films/diary/for/2020/09/26/,"82 mins  
				
					More details at","Nicholas Ray,Ida Lupino",USA,"thriller,crime,drama","Ida Lupino,Robert Ryan,Ward Bond,Charles Kemper,Anthony Ross,Ed Begley,Ian Wolfe,Sumner Williams,Gus Schilling,Frank Ferguson,Cleo Moore,Olive Carey,Richard Irving,Patricia Prest,Nita Talbot",https://a.ltrbxd.com/resized/film-poster/3/1/4/1/7/31417-on-dangerous-ground-0-230-0-345-crop.jpg?k=3e9ad7e081,https://a.ltrbxd.com/resized/sm/upload/id/ns/rt/5e/dangerous-1200-1200-675-675-crop-000000.jpg?k=b511568aea,A big-city cop is reassigned to the country after his superiors find him too angry to be an effective policeman. While on his temporary assignment he assists in a manhunt of a suspected murderer.
The Fabulous Baron Munchausen,1962,rating rated-8,/iainm/films/diary/for/2020/09/27/,"83 mins  
				
					More details at",Karel Zeman,Czechoslovakia,"fantasy,adventure","Miloš Kopecký,Rudolf Jelínek,Jana Brejchová,Karel Höger,Jan Werich,Eduard Kohout,Rudolf Hrušínský,Bohuš Záhorský,Karel Effa,Naděžda Blažíčková,Otto Šimánek,Zdeněk Hodr,Richard Záhorský,Miloslav Holub,František Šlégr,Josef Hlinomaz,Miroslav Homola,Václav Trégl,Jan Libíček,Jarka Pižla,Vítězslav Černý,Ladislav Gzela,Antonín Soukup,Josef Langmiler,Oldřich Musil",https://a.ltrbxd.com/resized/film-poster/2/3/8/0/2/23802-the-fabulous-baron-munchausen-0-230-0-345-crop.jpg?k=0cbad3e66e,https://a.ltrbxd.com/resized/sm/upload/1a/yq/2m/qr/the-fabulous-baron-munchausen-1200-1200-675-675-crop-000000.jpg?k=06eae68bae,"The 20th century's first man lands on the moon and discovers - that Baron Munchausen has already beaten him to it, along with Cyrano and characters from Jules Verne's lunar-landing novel.  The Baron spirits the young cosmonaut by horse-drawn ship back to an ancient ""Earth"", where they insult a sultan, rescue a princess, fall in love with the princess, and then as a trio have further experiences in a world of pastel colors, ornate dreamlike settings, and the inevitable angry disrupters of  peacefulness and love."
A Prophet,2009,rating rated-7,/iainm/films/diary/for/2020/08/15/,"155 mins  
				
					More details at",Jacques Audiard,"France,Italy","crime,drama","Tahar Rahim,Niels Arestrup,Adel Bencherif,Hichem Yacoubi,Reda Kateb,Jean-Philippe Ricci,Gilles Cohen,Antoine Basler,Pierre Leccia,Foued Nassah,Jean-Emmanuel Pagni,Frédéric Graziani,Leïla Bekhti,Rabah Loucif,Slimane Dazi,Serge Onteniente,Hervé Temime,Taha Lemaizi,Mohamed Makhtoumi,Karim Leklou,Farid Larbi,Guillaume Verdier,Mourad Frarema,Hakim Sid",https://a.ltrbxd.com/resized/sm/upload/1e/n7/st/bb/eQpVD55Kqhx0l4HGvZasYWEMXXJ-0-230-0-345-crop.jpg?k=248a9e7d66,https://a.ltrbxd.com/resized/sm/upload/kd/5s/ia/7y/a-prophet-1200-1200-675-675-crop-000000.jpg?k=0857d2f7b8,"Sentenced to six years in prison, Malik El Djebena is alone in the world and can neither read nor write. On his arrival at the prison, he seems younger and more brittle than the others detained there. At once he falls under the sway of a group of Corsicans who enforce their rule in the prison. As the 'missions' go by, he toughens himself and wins the confidence of the Corsican group."
Challenge of the Masters,1976,rating rated-7,/iainm/films/diary/for/2020/09/26/,"95 mins  
				
					More details at",Liu Chia-Liang,Hong Kong,"action,drama","Gordon Liu Chia-Hui,Chen Kuan-Tai,Kong Yeung,Liu Chia-Liang,Lily Li Li-Li,Lau Kar-Wing,Ricky Hui,Chiang Tao,Yue Wong,Fung Hak-On,Wilson Tong,Shih Chung-Tien,Cheng Kang-Yeh,Yuen Biao,Eric Tsang,Lam Ching-Ying",https://a.ltrbxd.com/resized/film-poster/3/5/1/8/4/35184-challenge-of-the-masters-0-230-0-345-crop.jpg?k=895cbb38a4,,The Wong family kung fu school gets smacked around by a rival school. Wong Fei-hong gets fed up with the abuse and goes to learn from his fathers master. After one of the rival schools members kills some of the towns people Wong Fei-hong becomes enraged trains even more comes back and gets his revenge.
