date,count
2015-04-01,3.0
2015-05-01,8.0
2015-06-01,6.0
2015-07-01,12.0
2015-08-01,12.0
2015-09-01,14.0
2015-10-01,10.0
2015-11-01,12.0
2015-12-01,7.0
2016-01-01,11.0
2016-02-01,7.0
2016-03-01,11.0
2016-04-01,11.0
2016-05-01,19.0
2016-06-01,8.0
2016-07-01,16.0
2016-08-01,17.0
2016-09-01,13.0
2016-10-01,17.0
2016-11-01,9.0
2016-12-01,17.0
2017-01-01,15.0
2017-02-01,20.0
2017-03-01,12.0
2017-04-01,8.0
2017-05-01,24.0
2017-06-01,15.0
2017-07-01,18.0
2017-08-01,18.0
2017-09-01,11.0
2017-10-01,11.0
2017-11-01,13.0
2017-12-01,13.0
2018-01-01,15.0
2018-02-01,7.0
2018-03-01,9.0
2018-04-01,14.0
2018-05-01,28.0
2018-06-01,17.0
2018-07-01,25.0
2018-08-01,21.0
2018-09-01,11.0
2018-10-01,15.0
2018-11-01,19.0
2018-12-01,20.0
2019-01-01,16.0
2019-02-01,12.0
2019-03-01,17.0
2019-04-01,18.0
2019-05-01,18.0
2019-06-01,22.0
2019-07-01,11.0
2019-08-01,24.0
2019-09-01,14.0
2019-10-01,18.0
2019-11-01,18.0
2019-12-01,17.0
2020-01-01,22.0
2020-02-01,17.0
2020-03-01,24.0
2020-04-01,32.0
2020-05-01,35.0
2020-06-01,22.0
2020-07-01,27.0
2020-08-01,32.0
2020-09-01,23.0
2020-10-01,8.0
